"Addresse des Users","Port des von ...",Userinformation1,Userinformation2,Datum,Request,Response,"Port für ...",Request-URL,Browser
195.234.163.106,56696,-,-,"02/Dec/2024:11:18:50 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4828,"https://portal.nanoo.tv/","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:133.0) Gecko/20100101 Firefox/133.0"
194.56.48.103,36198,-,-,"02/Dec/2024:11:37:44 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4828,"https://portal.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0"
193.47.169.26,10402,-,-,"02/Dec/2024:11:43:41 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"https://portal.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0.1 Safari/605.1.15"
66.249.64.35,46560,-,-,"02/Dec/2024:11:55:21 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9505,"-","Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.35,46560,-,-,"02/Dec/2024:11:55:21 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4264,"-","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
195.176.29.132,32701,-,-,"02/Dec/2024:11:57:28 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4264,"https://portal.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:128.0) Gecko/20100101 Firefox/128.0"
212.203.51.99,54440,-,-,"02/Dec/2024:12:11:25 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"https://www.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0"
185.39.93.34,55659,-,-,"02/Dec/2024:12:22:54 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4264,"https://portal.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
85.195.223.205,53237,-,-,"02/Dec/2024:12:30:05 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"https://www.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15"
194.209.11.28,55683,-,-,"02/Dec/2024:12:42:57 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"https://portal.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15"
193.247.16.205,21430,-,-,"02/Dec/2024:13:08:22 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4264,"https://portal.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
2001:4b20:100:f000:c1ee:e9cd:38bf:d871,52188,-,-,"02/Dec/2024:13:17:29 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4264,"https://portal.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:132.0) Gecko/20100101 Firefox/132.0"
194.209.11.32,62658,-,-,"02/Dec/2024:13:36:42 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"https://www.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
193.247.16.205,43388,-,-,"02/Dec/2024:13:38:09 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4264,"https://portal.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
212.117.117.70,15531,-,-,"02/Dec/2024:13:53:59 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4828,"https://www.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
213.221.254.186,18182,-,-,"02/Dec/2024:14:08:44 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4264,"https://portal.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
46.140.103.254,54341,-,-,"02/Dec/2024:14:22:17 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"https://portal.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:133.0) Gecko/20100101 Firefox/133.0"
82.220.17.172,49534,-,-,"02/Dec/2024:14:27:35 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4828,"https://www.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
84.226.95.17,50081,-,-,"02/Dec/2024:14:48:24 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"https://portal.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15"
94.242.50.56,9803,-,-,"02/Dec/2024:15:04:25 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4264,"https://portal.nanoo.tv/index.html","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0"
2a04:ee41:6:f133:2c26:24ff:eed5:9ffb,60056,-,-,"02/Dec/2024:15:09:58 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"https://www.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15"
193.47.169.38,10417,-,-,"02/Dec/2024:15:12:18 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"https://www.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0"
89.217.166.49,55712,-,-,"02/Dec/2024:15:14:52 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4264,"https://portal.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0"
195.176.22.129,2489,-,-,"02/Dec/2024:15:30:16 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4264,"https://portal.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
66.249.64.34,57115,-,-,"02/Dec/2024:15:42:50 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9505,"-","Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.6778.69 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
161.62.252.34,8480,-,-,"02/Dec/2024:15:46:06 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4264,"https://portal.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
2a02:21b4:8c5e:6c00:cdf6:336:b0d7:6e75,61906,-,-,"02/Dec/2024:15:48:25 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4828,"https://portal.nanoo.tv/index.html","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
194.40.145.18,62676,-,-,"02/Dec/2024:16:32:27 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4877,"https://www.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
212.117.117.70,5588,-,-,"02/Dec/2024:17:08:38 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4828,"https://www.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
185.39.94.194,27242,-,-,"02/Dec/2024:17:15:18 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"https://www.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15"
91.138.13.136,58279,-,-,"02/Dec/2024:17:19:01 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4828,"https://www.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
2a02:aa12:347e:5380:d934:2735:92a0:cbd9,59473,-,-,"02/Dec/2024:17:39:18 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"https://www.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15"
2a02:1210:8801:9400:7018:24c5:ce19:3592,60802,-,-,"02/Dec/2024:18:18:28 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4828,"https://www.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
195.234.163.106,48140,-,-,"02/Dec/2024:18:22:55 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"-","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:133.0) Gecko/20100101 Firefox/133.0"
195.234.163.106,49164,-,-,"02/Dec/2024:18:44:13 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4828,"-","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:133.0) Gecko/20100101 Firefox/133.0"
195.234.163.106,37606,-,-,"02/Dec/2024:18:47:36 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4828,"-","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:133.0) Gecko/20100101 Firefox/133.0"
195.234.163.106,41916,-,-,"02/Dec/2024:18:47:38 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4828,"-","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:133.0) Gecko/20100101 Firefox/133.0"
2a02:aa17:237f:bd00:2c0b:39b1:615b:4c32,55633,-,-,"02/Dec/2024:18:58:24 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"https://portal.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0"
194.230.144.89,28636,-,-,"02/Dec/2024:19:09:45 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"-","WhatsApp/2.23.20.0"
2a02:1368:6200:2818:45c1:c5df:99c4:d432,50671,-,-,"02/Dec/2024:21:20:38 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4264,"https://portal.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
213.159.153.158,63118,-,-,"02/Dec/2024:21:21:53 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4828,"https://www.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
31.165.233.185,64828,-,-,"02/Dec/2024:21:31:36 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"https://www.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
2001:1716:4603:4e50:dcbb:19a7:9b68:15f4,50340,-,-,"02/Dec/2024:21:32:59 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"https://portal.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:133.0) Gecko/20100101 Firefox/133.0"
52.167.144.187,62743,-,-,"02/Dec/2024:21:34:40 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9561,"-","Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
89.236.160.174,56834,-,-,"02/Dec/2024:21:39:23 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"https://portal.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
2a02:1210:8621:1b00:a1f4:83a6:c919:4308,63400,-,-,"02/Dec/2024:21:48:42 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"https://portal.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
51.154.22.71,51019,-,-,"02/Dec/2024:22:13:27 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"-","Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1"
2a02:1210:861f:600:85ca:76be:e668:dc13,57242,-,-,"02/Dec/2024:22:45:35 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"https://www.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15"
80.219.18.234,58706,-,-,"02/Dec/2024:23:43:17 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4264,"https://portal.nanoo.tv/","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36"
194.230.199.134,51402,-,-,"02/Dec/2024:23:49:29 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4828,"https://www.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:133.0) Gecko/20100101 Firefox/133.0"
52.167.144.214,51726,-,-,"03/Dec/2024:03:11:12 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9561,"-","Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
66.249.73.227,50347,-,-,"03/Dec/2024:06:42:14 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9489,"-","Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.6778.69 Mobile Safari/537.36 (compatible; GoogleOther)"
85.195.223.205,51431,-,-,"03/Dec/2024:07:24:03 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4828,"https://portal.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0"
194.209.11.8,57641,-,-,"03/Dec/2024:07:46:13 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"https://www.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0"
85.195.223.205,62768,-,-,"03/Dec/2024:07:51:30 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4828,"https://portal.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:133.0) Gecko/20100101 Firefox/133.0"
185.220.101.16,33050,-,-,"03/Dec/2024:07:52:32 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,17513,"https://portal.nanoo.tv/adventskalender/slideshow.html","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36"
193.8.91.2,22152,-,-,"03/Dec/2024:07:54:03 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4828,"https://www.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
88.84.2.188,50230,-,-,"03/Dec/2024:07:54:12 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4264,"https://portal.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0"
82.220.17.172,62451,-,-,"03/Dec/2024:08:04:44 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"https://www.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
82.220.17.172,62561,-,-,"03/Dec/2024:08:12:09 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"-","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
178.197.194.35,62615,-,-,"03/Dec/2024:08:16:16 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4828,"https://www.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
46.245.151.226,54821,-,-,"03/Dec/2024:08:25:28 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4264,"https://portal.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0"
2001:1686:9202:701:3091:6b7d:d5fb:1a13,64333,-,-,"03/Dec/2024:08:40:17 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"https://www.nanoo.tv/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15"
2a02:1210:3404:6f00:17d:728b:62fb:c68d,62561,-,-,"03/Dec/2024:09:20:27 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"-","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15"
141.195.93.72,57547,-,-,"03/Dec/2024:09:28:08 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,9536,"https://www.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
2a04:ee41:6:8049:3942:611e:c308:9729,59405,-,-,"03/Dec/2024:09:29:13 +0100","GET /adventskalender/slideshow.html HTTP/1.1",200,4828,"https://portal.nanoo.tv/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
